Nozzle_Design,Jet_Velocity,Shape
N1,11.73,0.78
N1,14.37,0.8
N1,16.59,0.81
N1,20.43,0.75
N1,23.46,0.77
N1,28.74,0.78
N2,11.73,0.85
N2,14.37,0.85
N2,16.59,0.92
N2,20.43,0.86
N2,23.46,0.81
N2,28.74,0.83
N3,11.73,0.93
N3,14.37,0.92
N3,16.59,0.95
N3,20.43,0.89
N3,23.46,0.89
N3,28.74,0.83
N4,11.73,1.14
N4,14.37,0.97
N4,16.59,0.98
N4,20.43,0.88
N4,23.46,0.86
N4,28.74,0.83
N5,11.73,0.97
N5,14.37,0.86
N5,16.59,0.78
N5,20.43,0.76
N5,23.46,0.76
N5,28.74,0.75
